Time,Position 1,Position 2
0.05,-0.6203155,-0.00343
0.1,-0.620144,-0.001372
0.15,-0.620144,-0.001372
0.2,-0.6203155,-0.003773
0.25,-0.620144,-0.0022295
0.3,-0.6199725,-0.003773
0.35,-0.6199725,-0.003773
0.4,-0.6203155,-0.0039445
0.45,-0.6203155,-0.0039445
0.5,-0.620144,-0.003773
0.55,-0.6199725,-0.0039445
0.6,-0.6196295,-0.001715
0.65,-0.619801,-0.0018865
0.7,-0.619458,-0.0018865
0.75,-0.619115,-0.001715
0.8,-0.618772,-0.0018865
0.85,-0.6182575,-0.0018865
0.9,-0.618429,-0.003773
0.95,-0.615685,-0.0036015
1,-0.617743,-0.0039445
1.05,-0.615685,-0.0039445
1.1,-0.622545,-0.003773
1.15,-0.6103685,-0.0039445
1.2,-0.5959625,-0.0036015
1.25,-0.57967,-0.003773
1.3,-0.565607,-0.003773
1.35,-0.551201,-0.0039445
1.4,-0.5366235,-0.002058
1.45,-0.5222175,-0.0039445
1.5,-0.508326,-0.0039445
1.55,-0.4937485,-0.003773
1.6,-0.4793425,-0.00343
1.65,-0.4649365,-0.0015435
1.7,-0.4505305,-0.003773
1.75,-0.4364675,-0.004116
1.8,-0.4220615,-0.0036015
1.85,-0.4076555,-0.0036015
1.9,-0.3932495,-0.0036015
1.95,-0.3791865,-0.0039445
2,-0.3647805,-0.0039445
2.05,-0.350203,-0.0018865
2.1,-0.335797,-0.0036015
2.15,-0.3219055,-0.0015435
2.2,-0.307328,-0.0015435
2.25,-0.292922,-0.0036015
2.3,-0.278516,-0.0036015
2.35,-0.2639385,-0.0032585
2.4,-0.250047,-0.00343
2.45,-0.2354695,-0.002744
2.5,-0.2210635,-0.002744
2.55,-0.2066575,-0.0022295
2.6,-0.1925945,-0.002401
2.65,-0.178017,-0.0018865
2.7,-0.1634395,-0.0015435
2.75,-0.1490335,-0.0012005
2.8,-0.134456,-0.001029
2.85,-0.1205645,-0.001029
2.9,-0.105987,-0.0005145
2.95,-0.0914095,-0.000343
3,-0.0770035,-0.0001715
3.05,-0.0629405,0.002058
3.1,-0.048363,0.0022295
3.15,-0.033957,0.0005145
3.2,-0.0193795,0.001029
3.25,-0.0053165,0.001029
3.3,0.007546,0.0049735
3.35,0.015435,0.010976
3.4,0.021266,0.0162925
3.45,0.0269255,0.022295
3.5,0.032585,0.028126
3.55,0.038416,0.0337855
3.6,0.044247,0.039788
3.65,0.050421,0.045276
3.7,0.055909,0.0509355
3.75,0.06174,0.056938
3.8,0.067571,0.062426
3.85,0.0735735,0.0686
3.9,0.079576,0.074431
3.95,0.085064,0.081977
4,0.0910665,0.0879795
4.05,0.0968975,0.0938105
4.1,0.1029,0.0992985
4.15,0.108388,0.105301
4.2,0.114219,0.1113035
4.25,0.1202215,0.117306
4.3,0.1260525,0.1233085
4.35,0.131369,0.1291395
4.4,0.134799,0.1349705
4.45,0.1432025,0.140973
4.5,0.148862,0.146804
4.55,0.1552075,0.1524635
4.6,0.1610385,0.1586375
4.65,0.167041,0.16464
4.7,0.172872,0.170471
4.75,0.179046,0.1764735
4.8,0.1847055,0.182476
4.85,0.190708,0.188307
4.9,0.196539,0.194481
4.95,0.2028845,0.2001405
5,0.208887,0.206143
5.05,0.214375,0.2121455
5.1,0.2207205,0.2183195
5.15,0.226723,0.223979
5.2,0.232897,0.230153
5.25,0.2385565,0.2361555
5.3,0.2447305,0.2423295
5.35,0.250733,0.248332
5.4,0.256907,0.2543345
5.45,0.263081,0.2601655
5.5,0.268912,0.266511
5.55,0.2749145,0.2721705
5.6,0.2810885,0.2783445
5.65,0.287091,0.284347
5.7,0.292922,0.2903495
5.75,0.299096,0.296352
