Time,Position 1,Position 2
0.05,-0.611226,0.01372
0.1,-0.611226,0.013377
0.15,-0.611226,0.0114905
0.2,-0.6110545,0.013377
0.25,-0.6110545,0.0135485
0.3,-0.6113975,0.013377
0.35,-0.6113975,0.01372
0.4,-0.611226,0.011662
0.45,-0.610883,0.0135485
0.5,-0.6107115,0.0135485
0.55,-0.6103685,0.013377
0.6,-0.6100255,0.01372
0.65,-0.6096825,0.011662
0.7,-0.6096825,0.013377
0.75,-0.609168,0.0135485
0.8,-0.6086535,0.0114905
0.85,-0.6093395,0.0135485
0.9,-0.6083105,0.011662
0.95,-0.6059095,0.011662
1,-0.606424,0.0135485
1.05,-0.6137985,0.0135485
1.1,-0.599907,0.01372
1.15,-0.5829285,0.01372
1.2,-0.5640635,0.0138915
1.25,-0.547085,0.01372
1.3,-0.530278,0.0138915
1.35,-0.5132995,0.012005
1.4,-0.4968355,0.014063
1.45,-0.479857,0.012005
1.5,-0.46305,0.014063
1.55,-0.4460715,0.0142345
1.6,-0.429093,0.014063
1.65,-0.4121145,0.0125195
1.7,-0.395136,0.0145775
1.75,-0.3781575,0.0145775
1.8,-0.361522,0.012691
1.85,-0.3445435,0.014749
1.9,-0.3277365,0.012691
1.95,-0.310758,0.012691
2,-0.2937795,0.012691
2.05,-0.276801,0.014749
2.1,-0.2598225,0.012691
2.15,-0.2433585,0.0125195
2.2,-0.2262085,0.014749
2.25,-0.20923,0.012691
2.3,-0.1922515,0.0145775
2.35,-0.175273,0.0128625
2.4,-0.1582945,0.0125195
2.45,-0.141316,0.0128625
2.5,-0.1246805,0.0142345
2.55,-0.107702,0.014749
2.6,-0.090552,0.012691
2.65,-0.0735735,0.012691
2.7,-0.056595,0.014749
2.75,-0.039445,0.0145775
2.8,-0.0224665,0.0145775
2.85,-0.0053165,0.0142345
2.9,0.0132055,0.012691
2.95,0.0289835,0.0156065
3,0.0361865,0.0272685
3.05,0.0341285,0.040474
3.1,0.0310415,0.0536795
3.15,0.02744,0.0670565
3.2,0.0241815,0.080262
3.25,0.02058,0.093639
3.3,0.0173215,0.106673
3.35,0.0138915,0.1202215
3.4,0.0108045,0.133084
3.45,0.007546,0.146118
3.5,0.0025725,0.1596665
3.55,0.001029,0.172529
3.6,-0.0025725,0.1857345
3.65,-0.0077175,0.19894
3.7,-0.010976,0.2121455
3.75,-0.014063,0.2251795
3.8,-0.0173215,0.238042
3.85,-0.0204085,0.2512475
3.9,-0.023324,0.2646245
3.95,-0.0265825,0.277487
4,-0.0300125,0.290864
4.05,-0.0330995,0.303898
4.1,-0.036358,0.316932
4.15,-0.0392735,0.3332245
4.2,-0.0423605,0.345744
4.25,-0.0454475,0.3586065
4.3,-0.048363,0.371812
4.35,-0.0516215,0.387933
4.4,-0.0547085,0.400624
4.45,-0.057624,0.41503
4.5,-0.060711,0.4275495
4.55,-0.0636265,0.4436705
4.6,-0.066542,0.453103
4.65,-0.0694575,0.4659655
4.7,-0.0722015,0.4786565
4.75,-0.0756315,0.494263
4.8,-0.078547,0.5067825
4.85,-0.081291,0.519645
4.9,-0.0842065,0.5328505
4.95,-0.0869505,0.545027
5,-0.089866,0.558404
5.05,-0.0927815,0.5716095
5.1,-0.0958685,0.5836145
5.15,-0.098784,0.59682
5.2,-0.101528,0.6059095
5.25,-0.104272,0.6113975
5.3,-0.107016,0.6107115
5.35,-0.10976,0.611912
5.4,-0.112504,0.611226
5.45,-0.115591,0.6100255
5.5,-0.118335,0.611912
5.55,-0.121079,0.6096825
5.6,-0.1236515,0.6100255
5.65,-0.1263955,0.609854
5.7,-0.128968,0.6100255
5.75,-0.131712,0.609854
5.8,-0.1342845,0.61054
5.85,-0.1373715,0.610197
5.9,-0.1401155,0.610197
