Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
8599, 530, 4558, 3000, 7396
8649, 569, 4486, 3000, 7441
8700, 550, 4522, 3000, 7401
8749, 569, 4486, 3000, 7449
8799, 530, 4558, 3000, 7466
8849, 509, 4596, 3000, 7484
8899, 550, 4522, 3000, 7502
8949, 509, 4596, 3000, 7395
9000, 509, 4596, 3000, 7506
9049, 550, 4522, 3000, 7522
9099, 489, 4634, 3000, 7506
9149, 509, 4596, 3000, 7462
9199, 489, 4634, 3000, 7572
9249, 509, 4596, 3000, 7618
9300, 530, 4558, 3000, 7571
9349, 468, 4672, 3000, 7558
9399, 447, 4712, 3000, 7603
9450, 509, 4596, 3000, 7619
9499, 509, 4596, 3000, 7605
9549, 447, 4712, 3000, 7620
9601, 468, 4672, 3000, 7666
9649, 447, 4712, 3000, 7621
9699, 468, 4672, 3000, 7569
9750, 468, 4672, 3000, 7650
9799, 468, 4672, 3000, 7695
9849, 425, 4752, 3000, 7710
9901, 468, 4672, 3000, 7661
9949, 489, 4634, 3000, 7642
10000, 447, 4712, 3000, 7656
10049, 403, 4792, 3000, 7703
10099, 447, 4712, 3000, 7684
10150, 447, 4712, 3000, 7731
10199, 447, 4712, 3000, 7745
10250, 425, 4752, 3000, 7693
10299, 425, 4752, 3000, 7739
10349, 425, 4752, 3000, 7753
10399, 403, 4792, 3000, 7668
10450, 468, 4672, 3000, 7780
10500, 380, 4834, 3000, 7730
10549, 425, 4752, 3000, 7806
10599, 403, 4792, 3000, 7790
10649, 403, 4792, 3000, 7802
10699, 380, 4834, 3000, 7783
10750, 380, 4834, 3000, 7895
10799, 403, 4792, 3000, 7806
10849, 380, 4834, 3000, 7819
10901, 380, 4834, 3000, 7900
10951, 403, 4792, 3000, 7879
10999, 403, 4792, 3000, 7717
11050, 335, 4918, 3000, 7802
11099, 380, 4918, 3000, 7883
11199, 425, 4752, 3000, 7973
11250, 358, 4876, 3000, 7919
11300, 425, 4752, 3000, 7964
11349, 380, 4834, 3000, 7910
11399, 380, 4834, 3000, 7987
11450, 311, 4962, 3000, 7966
11500, 403, 4792, 3000, 7976
11550, 335, 4918, 3000, 7955
11601, 358, 4876, 3000, 8032
11650, 335, 4918, 3000, 7905
11699, 380, 4834, 3000, 7915
11750, 358, 4876, 3000, 7926
11800, 358, 4876, 3000, 8042
11849, 335, 4918, 3000, 8020
11900, 335, 4918, 3000, 7995
11950, 335, 4918, 3000, 7933
12000, 335, 4918, 3000, 8052
12049, 287, 5006, 3000, 7990
12099, 335, 4918, 3000, 7928
12150, 335, 4918, 3000, 8082
12200, 311, 4962, 3000, 7985
12249, 358, 4876, 3000, 8066
12299, 311, 4962, 3000, 8004
12349, 358, 4876, 3000, 8051
12399, 263, 5051, 3000, 8061
12449, 311, 4962, 3000, 8176
12500, 335, 4918, 3000, 8044
12549, 335, 4918, 3000, 8053
12600, 311, 4962, 3000, 8063
12649, 263, 5051, 3000, 8144
12699, 335, 4918, 3000, 8117
12749, 287, 5006, 3000, 8091
12800, 287, 5006, 3000, 8172
12849, 311, 4962, 3000, 8145
12899, 263, 5051, 3000, 8082
12949, 263, 5051, 3000, 8163
12999, 287, 5006, 3000, 8099
13049, 287, 5006, 3000, 8108
13099, 311, 4962, 3000, 8080
13149, 238, 5097, 3000, 8161
13199, 263, 5051, 3000, 8206
13249, 212, 5144, 3000, 8178
13299, 287, 5006, 3000, 8150
13350, 263, 5051, 3000, 8159
13399, 335, 4918, 3000, 8131
13449, 263, 5051, 3000, 8101
13499, 263, 5051, 3000, 8184
13550, 263, 5051, 3000, 8192
13599, 212, 5144, 3000, 8125
13650, 311, 4962, 3000, 8171
13699, 263, 5051, 3000, 8140
13749, 263, 5051, 3000, 8108
13799, 311, 4962, 3000, 8231
13849, 263, 5051, 3000, 8239
13899, 238, 5097, 3000, 8246
13950, 212, 5144, 3000, 8218
13999, 238, 5097, 3000, 8225
14049, 212, 5144, 3000, 8232
14099, 263, 5051, 3000, 8201
14150, 238, 5097, 3000, 8208
14199, 263, 5051, 3000, 8291
14250, 238, 5097, 3000, 8262
14299, 287, 5006, 3000, 8230
14349, 238, 5097, 3000, 8277
14399, 212, 5144, 3000, 8356
14449, 238, 5097, 3000, 8291
14499, 238, 5097, 3000, 8298
14549, 212, 5144, 3000, 8305
14599, 238, 5097, 3000, 8234
14649, 186, 5192, 3000, 8279
14699, 186, 5192, 3000, 8286
14750, 212, 5144, 3000, 8254
14799, 238, 5097, 3000, 8338
14849, 212, 5144, 3000, 8228
14899, 212, 5144, 3000, 8313
14949, 186, 5192, 3000, 8280
14999, 160, 5240, 3000, 8326
15049, 212, 5144, 3000, 8293
15101, 212, 5144, 3000, 8338
15149, 212, 5144, 3000, 8345
15199, 212, 5144, 3000, 8426
15249, 212, 5144, 3000, 8279
15299, 212, 5144, 3000, 8402
15349, 263, 5051, 3000, 8369
15400, 186, 5192, 3000, 8336
15449, 160, 5240, 3000, 8381
15499, 212, 5144, 3000, 8309
15549, 212, 5144, 3000, 8431
15599, 212, 5144, 3000, 8398
15649, 186, 5192, 3000, 8326
15701, 160, 5240, 3000, 8332
15749, 160, 5240, 3000, 8492
15799, 186, 5192, 3000, 8383
15849, 212, 5144, 3000, 8307
15899, 186, 5192, 3000, 8394
15949, 186, 5192, 3000, 8478
16000, 212, 5144, 3000, 8405
16050, 186, 5192, 3000, 8372
16099, 186, 5192, 3000, 8417
16149, 160, 5240, 3000, 8500
16199, 133, 5290, 3000, 8427
16249, 160, 5240, 3000, 8433
16299, 186, 5192, 3000, 8399
16349, 160, 5240, 3000, 8362
16399, 212, 5144, 3000, 8367
16449, 160, 5240, 3000, 8334
16499, 212, 5144, 3000, 8420
16550, 186, 5192, 3000, 8425
16599, 160, 5240, 3000, 8469
16649, 186, 5192, 3000, 8473
16700, 160, 5240, 3000, 8440
16749, 160, 5240, 3000, 8445
16799, 133, 5290, 3000, 8449
16851, 238, 5097, 3000, 8454
16899, 133, 5290, 3000, 8458
16949, 133, 5290, 3000, 8463
16999, 186, 5192, 3000, 8506
17051, 212, 5144, 3000, 8472
17101, 133, 5290, 3000, 8435
17150, 186, 5192, 3000, 8481
17199, 160, 5240, 3000, 8485
17250, 160, 5240, 3000, 8490
17299, 133, 5290, 3000, 8495
17349, 160, 5340, 3000, 8499
17400, 133, 5290, 3000, 8542
17451, 160, 5240, 3000, 8507
17499, 160, 5240, 3000, 8512
17549, 160, 5240, 3000, 8392
17599, 186, 5192, 3000, 8396
17650, 160, 5240, 3000, 8482
17700, 79, 5391, 3000, 8528
17750, 160, 5240, 3000, 8490
17799, 186, 5192, 3000, 8575
17850, 133, 5290, 3000, 8459
17900, 133, 5290, 3000, 8502
17950, 133, 5290, 3000, 8506
17999, 160, 5240, 3000, 8509
18050, 133, 5290, 3000, 8474
18100, 160, 5240, 3000, 8559
18150, 79, 5391, 3000, 8563
18199, 133, 5290, 3000, 8524
18249, 133, 5290, 3000, 8528
18301, 160, 5240, 3000, 8492
18350, 106, 5340, 3000, 8535
18399, 133, 5290, 3000, 8539
18449, 106, 5340, 3000, 8543
18500, 106, 5340, 3000, 8507
18549, 133, 5290, 3000, 8510
18600, 133, 5290, 3000, 8514
18649, 106, 5340, 3000, 8557
18700, 133, 5290, 3000, 8521
18749, 106, 5340, 3000, 8524
18799, 79, 5391, 3000, 8528
18849, 133, 5290, 3000, 8570
18900, 133, 5290, 3000, 8534
18950, 133, 5290, 3000, 8578
18999, 106, 5340, 3000, 8662
19050, 133, 5290, 3000, 8545
19099, 106, 5340, 3000, 8549
19149, 133, 5290, 3000, 8591
19200, 106, 5340, 3000, 8555
19249, 106, 5340, 3000, 8558
19299, 186, 5192, 3000, 8561
19349, 106, 5340, 3000, 8646
19399, 79, 5391, 3000, 8526
19449, 79, 5391, 3000, 8652
19500, 106, 5340, 3000, 8574
19549, 133, 5290, 3000, 8577
19599, 79, 5391, 3000, 8538
19649, 160, 5240, 3000, 8583
19699, 106, 5340, 3000, 8625
19750, 106, 5340, 3000, 8547
19799, 133, 5290, 3000, 8674
19849, 106, 5340, 3000, 8596
19899, 106, 5340, 3000, 8638
19949, 106, 5340, 3000, 8559
19999, 160, 5240, 3000, 8562
20050, 106, 5340, 3000, 8647
20099, 79, 5391, 3000, 8569
20149, 106, 5340, 3000, 8613
20199, 106, 5340, 3000, 8655
20249, 79, 5391, 3000, 8577
20299, 106, 5340, 3000, 8580
20350, 79, 5391, 3000, 8582
20399, 106, 5340, 3000, 8665
20449, 79, 5391, 3000, 8628
20499, 106, 5340, 3000, 8631
20549, 106, 5340, 3000, 8633
20600, 21, 5497, 3000, 8594
20650, 106, 5340, 3000, 8596
20699, 106, 5340, 3000, 8680
20749, 106, 5340, 3000, 8724
20799, 79, 5391, 3000, 8603
20850, 106, 5340, 3000, 8648
20899, 50, 5444, 3000, 8608
20950, 106, 5340, 3000, 8568
20999, 106, 5340, 3000, 8612
21049, 79, 5391, 3000, 8657
21099, 79, 5391, 3000, 8617
21149, 106, 5340, 3000, 8577
21199, 160, 5240, 3000, 8621
21249, 79, 5391, 3000, 8666
21299, 133, 5290, 3000, 8584
21349, 106, 5340, 3000, 8586
21399, 106, 5340, 3000, 8630
21450, 21, 5497, 3000, 8632
21500, 79, 5391, 3000, 8592
21549, 79, 5391, 3000, 8636
21599, 50, 5444, 3000, 8762
21649, 50, 5444, 3000, 8641
21699, 21, 5497, 3000, 8643
21749, 50, 5444, 3000, 8557
21800, 106, 5340, 3000, 8688
21850, 50, 5444, 3000, 8730
21899, 50, 5444, 3000, 8693
21949, 21, 5497, 3000, 8610
21999, 50, 5444, 3000, 8612
22049, 106, 5340, 3000, 8656
22101, 50, 5444, 3000, 8739
22149, 79, 5391, 3000, 8702
22199, 21, 5497, 3000, 8619
22249, 50, 5444, 3000, 8663
22299, 106, 5340, 3000, 8665
22350, 79, 5391, 3000, 8709
22400, 106, 5340, 3000, 8669
22449, 50, 5444, 3000, 8713
22499, 79, 5391, 3000, 8715
22549, 21, 5497, 3000, 8632
22600, 79, 5391, 3000, 8676
22649, 79, 5391, 3000, 8677
22703, 50, 5444, 3000, 8761
22749, 79, 5391, 3000, 8681
22799, 79, 5391, 3000, 8640
22850, 79, 5497, 3000, 8684
22899, 50, 5444, 3000, 8643
22950, 50, 5444, 3000, 8645
22999, 21, 5497, 3000, 8601
23049, 106, 5340, 3000, 8647
23099, 79, 5391, 3000, 8603
23151, 79, 5391, 3000, 8692
23199, 106, 5340, 3000, 8736
23252, 50, 5444, 3000, 8696
23299, 79, 5391, 3000, 8697
23349, 106, 5340, 3000, 8740
23400, 50, 5444, 3000, 8659
23449, 106, 5497, 3000, 8744
23499, 50, 5444, 3000, 8662
23551, 21, 5497, 3000, 8663
23599, 21, 5497, 3000, 8619
23649, 79, 5391, 3000, 8666
23699, 79, 5391, 3000, 8622
23749, 21, 5444, 3000, 8624
23800, 79, 5391, 3000, 8670
23851, 50, 5444, 3000, 8627
23900, 21, 5497, 3000, 8673
23949, 106, 5340, 3000, 8629
24000, 50, 5444, 3000, 8631
24050, 79, 5391, 3000, 8632
24100, 106, 5340, 3000, 8678
24150, 79, 5391, 3000, 8635
24199, 50, 5444, 3000, 8636
24250, 50, 5444, 3000, 8637
24300, 50, 5444, 3000, 8684
24349, 79, 5391, 3000, 8639
24399, 50, 5444, 3000, 8686
24450, 21, 5497, 3000, 8642
24500, 106, 5340, 3000, 8688
24549, 50, 5444, 3000, 8554
24599, 50, 5444, 3000, 8645
24649, 50, 5444, 3000, 8646
24700, 50, 5444, 3000, 8647
24749, 79, 5391, 3000, 8648
24799, 50, 5444, 3000, 8649
24849, 50, 5444, 3000, 8650
24899, 50, 5444, 3000, 8651
24949, 21, 5497, 3000, 8652
25000, 50, 5444, 3000, 8653
25049, 21, 5497, 3000, 8654
25099, 50, 5444, 3000, 8655
25149, 50, 5444, 3000, 8656
25199, 21, 5497, 3000, 8657
25250, -8, 5551, 3000, 8746
25300, 21, 5497, 3000, 8705
25349, 50, 5444, 3000, 8790
25399, 50, 5444, 3000, 8706
25449, 79, 5391, 3000, 8707
25499, 50, 5444, 3000, 8792
25549, 79, 5391, 3000, 8663
25600, 106, 5340, 3000, 8710
25649, 21, 5497, 3000, 8665
25699, 79, 5391, 3000, 8666
25749, 21, 5497, 3000, 8668
25799, 21, 5497, 3000, 8668
25849, -8, 5551, 3000, 8715
25900, 21, 5497, 3000, 8716
25949, 21, 5497, 3000, 8759
25999, 79, 5391, 3000, 8717
26050, 79, 5391, 3000, 8718
26099, 79, 5391, 3000, 8674
26150, 79, 5391, 3000, 8762
26199, -8, 5551, 3000, 8676
26249, 50, 5444, 3000, 8677
26299, 21, 5497, 3000, 8723
26349, 21, 5497, 3000, 8766
26399, 79, 5391, 3000, 8725
26450, 79, 5391, 3000, 8810
26499, 50, 5444, 3000, 8682
26549, 50, 5444, 3000, 8683
26599, 21, 5497, 3000, 8684
26649, 21, 5497, 3000, 8730
26700, 21, 5497, 3000, 8730
26750, 50, 5444, 3000, 8815
