Time (ms), Raw speed error (mV), Raw speed (mrad/s), Reference (mV), Control output (mV)
8549, 550, 4522, 3000, 7317
8599, 550, 4522, 3000, 7368
8649, 509, 4596, 3000, 7353
8700, 530, 4558, 3000, 7434
8749, 550, 4522, 3000, 7508
8799, 530, 4558, 3000, 7468
8849, 530, 4558, 3000, 7422
8899, 509, 4596, 3000, 7503
8949, 530, 4558, 3000, 7489
9000, 509, 4596, 3000, 7506
9049, 550, 4522, 3000, 7523
9099, 489, 4634, 3000, 7540
9149, 509, 4596, 3000, 7523
9199, 509, 4596, 3000, 7509
9249, 489, 4634, 3000, 7555
9300, 509, 4596, 3000, 7571
9349, 489, 4634, 3000, 7587
9399, 468, 4672, 3000, 7603
9450, 509, 4596, 3000, 7588
9499, 447, 4712, 3000, 7573
9549, 489, 4634, 3000, 7618
9601, 468, 4672, 3000, 7604
9649, 468, 4672, 3000, 7619
9699, 489, 4634, 3000, 7664
9750, 468, 4672, 3000, 7649
9799, 468, 4672, 3000, 7694
9849, 447, 4712, 3000, 7546
9900, 447, 4712, 3000, 7692
9949, 447, 4712, 3000, 7640
9999, 468, 4672, 3000, 7687
10049, 468, 4672, 3000, 7701
10099, 447, 4712, 3000, 7716
10150, 425, 4752, 3000, 7664
10199, 403, 4792, 3000, 7743
10250, 447, 4712, 3000, 7724
10299, 380, 4834, 3000, 7738
10349, 468, 4672, 3000, 7751
10399, 403, 4792, 3000, 7732
10451, 425, 4752, 3000, 7781
10499, 380, 4834, 3000, 7825
10549, 447, 4712, 3000, 7804
10599, 403, 4792, 3000, 7718
10649, 403, 4792, 3000, 7797
10699, 380, 4752, 3000, 7779
10750, 380, 4834, 3000, 7792
10799, 425, 4752, 3000, 7868
10849, 403, 4792, 3000, 7850
10899, 358, 4876, 3000, 7796
10949, 403, 4792, 3000, 7841
10999, 380, 4834, 3000, 7853
11049, 447, 4712, 3000, 7862
11101, 403, 4792, 3000, 7877
11151, 380, 4834, 3000, 7820
11199, 358, 4876, 3000, 7795
11249, 380, 4834, 3000, 7771
11301, 380, 4834, 3000, 7855
11351, 335, 4918, 3000, 7866
11399, 358, 4876, 3000, 7842
11449, 358, 4876, 3000, 7853
11500, 403, 4792, 3000, 7936
11550, 380, 4834, 3000, 7947
11601, 358, 4876, 3000, 7922
11650, 335, 4918, 3000, 8002
11699, 287, 5006, 3000, 7980
11750, 311, 4962, 3000, 7918
11800, 358, 4876, 3000, 7928
11849, 358, 4876, 3000, 8011
11900, 238, 5097, 3000, 7985
11950, 311, 4962, 3000, 7923
12000, 287, 5006, 3000, 8042
12049, 238, 5097, 3000, 8052
12099, 311, 4962, 3000, 7953
12150, 335, 4918, 3000, 8035
12200, 335, 4918, 3000, 8010
12249, 358, 4876, 3000, 8020
12299, 263, 5051, 3000, 8030
12350, 311, 4962, 3000, 8039
12399, 311, 4962, 3000, 8013
12449, 335, 4918, 3000, 8094
12500, 311, 4962, 3000, 8068
12549, 287, 5006, 3000, 8077
12600, 311, 4962, 3000, 8014
12649, 263, 5051, 3000, 8095
12699, 311, 4962, 3000, 8068
12749, 287, 5006, 3000, 8005
12800, 238, 5097, 3000, 8122
12849, 311, 4962, 3000, 8095
12899, 287, 5006, 3000, 8032
12949, 263, 5051, 3000, 8077
12999, 263, 5051, 3000, 8121
13049, 263, 5051, 3000, 8130
13099, 263, 5051, 3000, 8139
13149, 287, 5006, 3000, 8111
13200, 263, 5051, 3000, 8120
13249, 311, 4962, 3000, 8092
13299, 263, 5051, 3000, 8172
13350, 287, 5006, 3000, 8030
13399, 238, 5097, 3000, 8189
13449, 238, 5097, 3000, 8197
13499, 263, 5051, 3000, 8133
13549, 238, 5097, 3000, 8141
13599, 263, 5051, 3000, 8185
13650, 263, 5051, 3000, 8193
13699, 238, 5097, 3000, 8164
13749, 263, 5051, 3000, 8094
13800, 287, 5006, 3000, 8180
13849, 238, 5097, 3000, 8188
13899, 238, 5097, 3000, 8231
13950, 212, 5144, 3000, 8202
13999, 212, 5144, 3000, 8170
14049, 311, 4962, 3000, 8177
14099, 287, 5006, 3000, 8146
14150, 238, 5097, 3000, 8267
14199, 212, 5144, 3000, 8200
14250, 238, 5097, 3000, 8129
14299, 287, 5006, 3000, 8253
14349, 212, 5144, 3000, 8260
14399, 212, 5144, 3000, 8228
14449, 238, 5097, 3000, 8274
14499, 160, 5240, 3000, 8353
14549, 212, 5144, 3000, 8248
14599, 212, 5144, 3000, 8216
14649, 133, 5290, 3000, 8261
14699, 212, 5144, 3000, 8189
14750, 212, 5144, 3000, 8313
14800, 212, 5144, 3000, 8241
14849, 212, 5144, 3000, 8248
14899, 186, 5192, 3000, 8294
14949, 212, 5144, 3000, 8339
14999, 212, 5144, 3000, 8346
15049, 186, 5192, 3000, 8313
15100, 186, 5192, 3000, 8319
15149, 212, 5144, 3000, 8365
15199, 238, 5097, 3000, 8332
15249, 212, 5144, 3000, 8338
15299, 212, 5144, 3000, 8305
15349, 212, 5144, 3000, 8350
15400, 160, 5240, 3000, 8395
15449, 263, 5051, 3000, 8362
15499, 212, 5144, 3000, 8368
15549, 160, 5240, 3000, 8335
15599, 186, 5192, 3000, 8340
15649, 186, 5192, 3000, 8385
15701, 186, 5192, 3000, 8391
15749, 186, 5192, 3000, 8318
15799, 186, 5192, 3000, 8363
15849, 186, 5192, 3000, 8446
15899, 160, 5240, 3000, 8334
15949, 186, 5192, 3000, 8259
16000, 186, 5192, 3000, 8303
16050, 186, 5192, 3000, 8389
16099, 160, 5240, 3000, 8395
16149, 160, 5240, 3000, 8478
16199, 186, 5192, 3000, 8405
16249, 160, 5240, 3000, 8371
16299, 238, 5097, 3000, 8376
16349, 160, 5240, 3000, 8459
16400, 186, 5192, 3000, 8386
16449, 160, 5240, 3000, 8430
16499, 50, 5444, 3000, 8396
16550, 106, 5340, 3000, 8440
16599, 133, 5290, 3000, 8406
16649, 186, 5192, 3000, 8411
16700, 212, 5144, 3000, 8494
16749, 160, 5240, 3000, 8421
16799, 160, 5240, 3000, 8426
16850, 133, 5290, 3000, 8430
16899, 133, 5290, 3000, 8434
16949, 133, 5290, 3000, 8397
16999, 186, 5192, 3000, 8443
17049, 160, 5240, 3000, 8367
17099, 106, 5192, 3000, 8371
17150, 133, 5240, 3000, 8415
17199, 106, 5340, 3000, 8380
17249, 133, 5290, 3000, 8424
17299, 133, 5290, 3000, 8428
17351, 133, 5290, 3000, 8474
17400, 133, 5290, 3000, 8517
17449, 160, 5240, 3000, 8483
17499, 160, 5240, 3000, 8486
17549, 133, 5290, 3000, 8409
17599, 186, 5290, 3000, 8534
17650, 133, 5290, 3000, 8499
17701, 133, 5290, 3000, 8503
17751, 160, 5240, 3000, 8507
17799, 212, 5144, 3000, 8430
17850, 133, 5290, 3000, 8474
17900, 133, 5290, 3000, 8519
17950, 133, 5290, 3000, 8481
18000, 186, 5192, 3000, 8527
18050, 106, 5340, 3000, 8450
18100, 79, 5391, 3000, 8534
18150, 133, 5290, 3000, 8496
18199, 186, 5192, 3000, 8500
18249, 133, 5290, 3000, 8464
18301, 160, 5240, 3000, 8506
18350, 106, 5340, 3000, 8552
18399, 106, 5340, 3000, 8514
18449, 106, 5340, 3000, 8560
18500, 133, 5290, 3000, 8482
18549, 106, 5340, 3000, 8567
18600, 106, 5340, 3000, 8447
18649, 160, 5240, 3000, 8451
18700, 106, 5340, 3000, 8496
18749, 133, 5290, 3000, 8539
18799, 160, 5240, 3000, 8460
18849, 79, 5391, 3000, 8544
18900, 133, 5290, 3000, 8547
18949, 106, 5340, 3000, 8551
18999, 106, 5340, 3000, 8554
19050, 79, 5391, 3000, 8477
19099, 106, 5340, 3000, 8560
19149, 106, 5340, 3000, 8524
19199, 106, 5340, 3000, 8566
19249, 133, 5290, 3000, 8530
19299, 106, 5340, 3000, 8491
19349, 133, 5290, 3000, 8575
19399, 106, 5340, 3000, 8579
19449, 133, 5290, 3000, 8582
19499, 79, 5391, 3000, 8547
19549, 160, 5240, 3000, 8508
19599, 106, 5340, 3000, 8592
19650, 106, 5340, 3000, 8514
19699, 106, 5340, 3000, 8640
19750, 133, 5290, 3000, 8601
19799, 133, 5290, 3000, 8565
19849, 79, 5391, 3000, 8568
19899, 133, 5290, 3000, 8529
19949, 133, 5290, 3000, 8655
20000, 79, 5391, 3000, 8577
20050, 133, 5290, 3000, 8661
20099, 106, 5340, 3000, 8583
